Loading environment ...
Environment loaded.
Begin training
Loaded 14000 samples | Energies present: [1.0, 5.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0]
mu_logE=3.516262, sigma_logE=1.329275
Group G0 | Cumulative training will start at epoch 1
[G0] Epoch 001 | Train 0.222817 | Val 0.057562 | MAE 8.934763 | RMSE 13.274231
💾 New best (val=0.057562) saved to /lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_200x200_model/NN_model_200x200/best_latest.ckpt
[G0] Epoch 002 | Train 0.042963 | Val 0.034928 | MAE 5.806515 | RMSE 8.810488
💾 New best (val=0.034928) saved to /lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_200x200_model/NN_model_200x200/best_latest.ckpt
[G0] Epoch 003 | Train 0.037503 | Val 0.034990 | MAE 5.914289 | RMSE 8.972235
[G0] Epoch 004 | Train 0.035029 | Val 0.036901 | MAE 7.508647 | RMSE 11.045615
[G0] Epoch 005 | Train 0.035655 | Val 0.031877 | MAE 5.198889 | RMSE 7.944251
💾 New best (val=0.031877) saved to /lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_200x200_model/NN_model_200x200/best_latest.ckpt
[G0] Epoch 006 | Train 0.032917 | Val 0.032692 | MAE 5.325509 | RMSE 8.007379
[G0] Epoch 007 | Train 0.032985 | Val 0.032362 | MAE 6.081892 | RMSE 9.180959
[G0] Epoch 008 | Train 0.031559 | Val 0.032775 | MAE 6.098176 | RMSE 9.182762
[G0] Epoch 009 | Train 0.030563 | Val 0.031578 | MAE 5.105588 | RMSE 7.844297
💾 New best (val=0.031578) saved to /lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_200x200_model/NN_model_200x200/best_latest.ckpt
[G0] Epoch 010 | Train 0.030532 | Val 0.037296 | MAE 6.650226 | RMSE 9.698745
[G0] Epoch 011 | Train 0.032012 | Val 0.030405 | MAE 5.086214 | RMSE 7.748627
💾 New best (val=0.030405) saved to /lustre/work/samumcki/final_dSiPM_run/NN_Analysis/unnorm_200x200_model/NN_model_200x200/best_latest.ckpt
[G0] Epoch 012 | Train 0.031496 | Val 0.038985 | MAE 7.874319 | RMSE 11.225339
[G0] Epoch 013 | Train 0.030154 | Val 0.030453 | MAE 5.509328 | RMSE 8.381270
[G0] Epoch 014 | Train 0.028791 | Val 0.033597 | MAE 6.170037 | RMSE 9.275207
