Loading environment ...
Environment loaded.
Begin training
Loaded 14000 samples | Energies present: [1.0, 5.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0]
mu_logE=3.516262, sigma_logE=1.329275
Group G0 | Cumulative training will start at epoch 1
[G0] Epoch 001 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 002 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 003 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 004 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 005 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 006 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 007 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 008 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 009 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 010 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 011 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 012 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 013 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 014 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 015 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 016 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 017 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 018 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 019 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 020 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 021 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 022 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 023 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 024 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 025 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 026 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 027 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 028 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 029 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 030 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 031 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 032 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 033 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 034 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 035 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 036 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 037 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 038 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 039 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 040 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 041 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 042 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 043 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 044 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 045 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 046 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 047 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 048 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 049 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 050 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 051 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 052 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 053 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 054 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 055 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 056 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 057 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 058 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 059 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 060 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 061 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 062 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 063 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 064 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 065 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 066 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 067 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 068 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 069 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 070 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 071 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 072 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 073 | Train nan | Val nan | MAE nan | RMSE nan
[G0] Epoch 074 | Train nan | Val nan | MAE nan | RMSE nan
